N MultMatVet OptimizedMultMatVet MultMatMat OptmizedMultMatMat
64 0 0 0 0 
100 0 0 0.0183 0 
128 0 0 0.0494 0.0367 
200 0 0 0.1824 0.1063 
256 0 0 0.6555 0.2728 
512 0 0 7.3120 2.8326 
600 0 0 5.4419 4.0226 
900 0.0292 0 22.6531 8.1007 
1024 0.0287 0 62.2646 23.5739 
2000 0.2643 0.0880 404.7007 131.4366 
2048 0.3253 0.2127 1335.0760 370.9638 
3000 0.2151 0.1032 4077.6670 573.1723 
4000 0.3895 0.1888 11152.0400 1368.6540 
